id and stock name
2302 麗正	2303 聯電	2329 華泰	2330 台積電	2337 旺宏
2338 光罩	2342 茂矽	2344 華邦電	2351 順德	2363 矽統
2369 菱生	2379 瑞昱	2388 威盛	2401 凌陽	2408 南亞科
2434 統懋	2436 偉詮電	2441 超豐	2449 京元電子	2451 創見
2454 聯發科	2458 義隆	2481 強茂	3006 晶豪科	3014 聯陽
3016 嘉晶	3034 聯詠	3035 智原	3041 揚智	3054 立萬利
3094 聯傑	3189 景碩	3257 虹冠電	3413 京鼎	3443 創意
3530 晶相光	3532 台勝科	3536 誠創	3545 敦泰	3583 辛耘
3588 通嘉	3661 世芯-KY	3686 達能	3711 日月光投控	4919 新唐
4952 凌通	4961 天鈺	4967 十銓	4968 立積	5269 祥碩
5285 界霖	5305 敦南	5471 松翰	6202 盛群	6239 力成
6243 迅杰	6257 矽格	6271 同欣電	6415 矽力-KY	6451 訊芯-KY
6525 捷敏-KY	6531 愛普	6533 晶心科	6552 易華電	6573 虹揚-KY
8016 矽創	8028 昇陽半導體	8081 致新	8110 華東	8131 福懋科
8150 南茂	8261 富鼎	8271 宇瞻	

2301 光寶科	2305 全友	2324 仁寶	2331 精英	2352 佳世達
2353 宏碁	2356 英業達	2357 華碩	2362 藍天	2364 倫飛
2365 昆盈	2376 技嘉	2377 微星	2380 虹光	2382 廣達
2387 精元	2395 研華	2397 友通	2399 映泰	2405 浩鑫
2417 圓剛	2424 隴華	2425 承啟	2442 新美齊	2465 麗臺
3002 歐格	3005 神基	3013 晟銘電	3017 奇鋐	3022 威強電
3046 建碁	3057 喬鼎	3060 銘異	3231 緯創	3416 融程電
3494 誠研	3515 華擎	3701 大眾控	3706 神達	3712 永崴投控
4916 事欣科	4938 和碩	5215 科嘉-KY	5258 虹堡	5264 鎧勝-KY
6117 迎廣	6128 上福	6166 凌華	6172 互億	6206 飛捷
6230 超眾	6235 華孚	6277 宏正	6414 樺漢	6579 研揚
6591 動力-KY	6669 緯穎	8114 振樺電	8163 達方	8210 勤誠
9912 偉聯

2323 中環	2340 光磊	2349 錸德	2374 佳能	2393 億光
2406 國碩	2409 友達	2426 鼎元	2438 翔耀	2448 晶電
2466 冠西電	2486 一詮	2489 瑞軒	2491 吉祥全	2499 東貝
3008 大立光	3019 亞光	3024 憶聲	3031 佰鴻	3038 全台
3049 和鑫	3050 鈺德	3051 力特	3059 華晶科	3149 正達
3356 奇偶	3383 新世紀	3406 玉晶光	3437 榮創	3454 晶睿
3481 群創	3504 揚明光	3535 晶彩科	3557 嘉威	3563 牧德
3576 聯合再生	3591 艾笛森	3622 洋華	3669 圓展	3673 TPK-KY
3698 隆達	4934 太極	4935 茂林-KY	4942 嘉彰	4956 光鋐
4960 誠美材	4976 佳凌	5234 達興材料	5243 乙盛-KY	5484 慧友
6116 彩晶	6120 達運	6131 鈞泰	6164 華興	6168 宏齊
6176 瑞儀	6209 今國光	6225 天瀚	6226 光鼎	6278 台表科
6289 華上	6405 悅城	6431 光麗-KY	6443 元晶	6456 GIS-KY
6477 安集	6668 中揚光	6706 惠特	8104 錸寶	8105 凌巨
8215 明基材

2314 台揚	2321 東訊	2332 友訊	2345 智邦	2412 中華電
2419 仲琦	2439 美律	2444 兆勁	2450 神腦	2455 全新
2485 兆赫	2498 宏達電	3025 星通	3027 盛達	3045 台灣大
3047 訊舟	3062 建漢	3311 閎暉	3380 明泰	3419 譁裕
3596 智易	3682 亞太電	3694 海華	3704 合勤控	4904 遠傳
4906 正文	4977 眾達-KY	5388 中磊	6136 富爾特	6142 友勁
6152 百一	6216 居易	6285 啟碁	6416 瑞祺電通	6442 光聖
6674 鋐寶科技	8011 台通	8101 華冠

1471 首利	1582 信錦	2059 川湖	2308 台達電	2313 華通
2316 楠梓電	2327 國巨	2328 廣宇	2355 敬鵬	2367 燿華
2368 金像電	2375 凱美	2383 台光電	2385 群光	2392 正崴
2402 毅嘉	2413 環科	2415 錩新	2420 新巨	2421 建準
2428 興勤	2429 銘旺科	2431 聯昌	2440 太空梭	2456 奇力新
2457 飛宏	2460 建通	2462 良得	2467 志聖	2472 立隆
2476 鉅祥	2478 大毅	2483 百容	2484 希華	2492 華新科
2493 揚博	3003 健和興	3011 今皓	3015 全漢	3021 鴻名
3023 信邦	3026 禾伸堂	3032 偉訓	3037 欣興	3042 晶技
3044 健鼎	3058 立德	3090 日電貿	3229 晟鈦	3296 勝德
3308 聯德	3321 同泰	3338 泰碩	3376 新日興	3432 台端
3501 維熹	3533 嘉澤	3550 聯穎	3593 力銘	3605 宏致
3607 谷崧	3645 達邁	3653 健策	3679 新至陞	4545 銘鈺
4912 聯德控股-KY	4915 致伸	4927 泰鼎-KY	4943 康控-KY	4958 臻鼎-KY
4989 榮科	4999 鑫禾	5469 瀚宇博	6108 競國	6115 鎰勝
6133 金橋	6141 柏承	6153 嘉聯益	6155 鈞寶	6165 捷泰
6191 精成科	6197 佳必琪	6205 詮欣	6213 聯茂	6224 聚鼎
6251 定穎	6269 台郡	6282 康舒	6412 群電	6449 鈺邦
6672 騰輝電子-KY	6715 嘉基	8039 台虹	8046 南電	8103 瀚荃
8213 志超	8249 菱光

2347 聯強	2414 精技	2430 燦坤	2459 敦吉	3010 華立
3028 增你強	3033 威健	3036 文曄	3048 益登	3055 蔚華科
3209 全科	3312 弘憶股	3528 安馳	3702 大聯大	3702A 大聯大甲特
5434 崇越	6189 豐藝	6281 全國電	8070 長華	8072 陞泰
8112 至上

2427 三商電	2453 凌群	2468 華經	2471 資通	2480 敦陽
3029 零壹	3130 一零四	4994 傳奇	5203 訊連	6112 聚碩
6183 關貿	6214 精誠

2312 金寶	2317 鴻海	2354 鴻準	2359 所羅門	2360 致茂
2373 震旦行	2390 云辰	2404 漢唐	2423 固緯	2433 互盛電
2461 光群雷	2464 盟立	2474 可成	2477 美隆電	2482 連宇
2488 漢平	2495 普安	3018 同開	3030 德律	3043 科風
3305 昇貿	3450 聯鈞	3518 柏騰	3617 碩天	3665 貿聯-KY
5225 東科-KY	6139 亞翔	6192 巨路	6196 帆宣	6201 亞弘電
6215 和椿	6283 淳安	6409 旭隼	6558 興能高	6698 旭暉應材
8021 尖點	8201 無敵

1598 岱宇	1701 中化	1707 葡萄王	1720 生達	1731 美吾華
1733 五鼎	1734 杏輝	1736 喬山	1760 寶齡富錦	1762 中化生
1783 和康生	1786 科妍	1789 神隆	1795 美時	3164 景岳
3705 永信	4104 佳醫	4106 雃博	4108 懷特	4119 旭富
4133 亞諾法	4137 麗豐-KY	4141 龍燈-KY	4142 國光	4144 康聯-KY
4148 全宇生技-KY	4155 訊映	4164 承業醫	4190 佐登-KY	4737 華廣
4746 台耀	6452 康友-KY	6491 晶碩	6541 泰福-KY	6666 羅麗芬-KY

